Rk,MPG,PPG,RPG,APG
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,19,8.4,3.9,1.1
46,20.4,7.9,3.5,2.8
47,17.8,6.9,1.9,1.4
48,14.9,5.1,2.9,0.6
49,13.4,5.7,3.4,0.8
50,7.5,2.5,3,0.4
51,NA,NA,NA,NA
52,8,1.5,1,0
53,7.4,1.8,0.6,1.2
54,21.4,10.3,2.4,2.6
55,3,0,0,0
56,10.4,3.6,3.3,0.3
57,5.2,1.7,1.2,0.5
58,3.3,1.6,0.4,0.5
59,5,0.2,1.2,0
60,4,1,1,0.1
1,31.7,25.7,7,3.2
2,32.1,20.6,4.4,7.2
3,33,16.6,5.5,2.8
4,30.8,13,4.3,1.7
5,32.8,16.4,2.5,5.8
6,18.2,7,2.9,1.3
7,28.5,14.1,3.7,3.5
8,16.6,7.8,4.1,0.7
9,29,13,5.4,1.5
10,25.2,10.7,3.2,1.3
11,24,10.1,3.6,1.3
12,29.1,11.8,5.9,2.2
13,30,16,4.6,3.1
14,14.7,3.6,1.9,0.5
15,17.1,5.6,2.8,0.7
16,24.5,8,4.4,1.9
17,20.1,9.8,2.7,2.3
18,10.8,4.3,2.7,0.6
19,9.9,3.8,2.2,0.6
20,21.5,4.6,1.9,1.1
21,22.1,11,5.7,1.5
22,18.5,5,2.9,1
23,25.4,9.6,5.9,1.2
24,17.1,7.1,1.9,2.4
25,16.7,5.8,3.4,0.7
26,12.6,3.8,2.5,0.9
27,6.7,2.7,1.4,0.4
28,23.5,12.3,2.3,2.6
29,28.3,13.5,5.7,1.7
30,27.6,12.7,3.6,4.5
31,18.2,7,4.9,0.9
32,11.4,2.8,1.8,0.5
33,9.2,3.6,1.1,0.6
34,9.1,2.9,2.7,0.6
35,12.6,1.6,1,0.8
36,20.7,5.6,3.5,2.1
37,7,1.9,1.5,0.3
38,16.4,7.1,4.3,0.7
39,7.7,3,1.5,0.6
40,7.5,3.2,0.9,0.6
41,20.4,10.3,3.4,1.4
42,11.2,3.2,1.7,0.5
43,15.4,7.7,1.9,1.7
44,6.2,2.7,1.2,0.3
45,20.6,8,4.9,1.4
46,21.9,9,2.8,2.6
47,11.1,3.7,1.7,0.8
48,20,7.2,3.6,1.8
49,6.4,2,0.7,0.6
50,6.3,2.4,1.3,0.7
51,10.2,3.7,0.9,2.1
52,18.5,6.8,3.6,1.1
53,11.3,4.8,1.3,1.8
54,7,2.8,1.8,0.3
55,8.6,3.3,1,1
56,NA,NA,NA,NA
57,10.4,2.8,1.2,1.1
58,8.4,1.8,1.4,0.5
59,4.7,2.3,2.3,0.5
60,NA,NA,NA,NA
1,33.2,20.4,4.7,3.2
2,21.4,11.5,5.8,0.7
3,30.8,17.9,6.5,6.9
4,27.7,9.1,4.4,1.3
5,31,9.4,3.1,1.9
6,15.3,6,4,0.6
7,24.9,6.4,2.8,4.5
8,12.9,5.6,2.9,0.7
9,23.4,7.1,5,1.4
10,10.4,4.6,3.4,0.2
11,20.9,8.2,3.4,1.3
12,32.4,13.8,3.4,6.5
13,16,6.2,1.4,2.2
14,12.8,4.2,2.3,0.4
15,30,15.3,5.2,5
16,23.3,8.1,7.4,1
17,20.5,6.9,4.5,1.7
18,13,3.5,2.1,1
19,30.1,13.9,5.1,2
20,16.9,6.1,4.9,0.8
21,24.6,12.1,2.5,3.2
22,12.9,5,2.6,0.3
23,7.5,1.1,1.4,0.4
24,18.3,7,3.2,2
25,20.3,10.5,2.2,2.4
26,16.3,6.4,2,1.8
27,7.8,2.9,2.5,0
28,25.1,7.8,4,1.2
29,15.2,5.6,1.9,2.1
30,25.9,13.1,3.7,2.1
31,4.5,1,0.5,0.5
32,5.5,2.3,1.3,0.1
33,5.7,1.9,1.6,0.3
34,23.1,8.2,2.7,2.7
35,16.3,5.8,3.8,1.2
36,3.9,1,1.1,0.2
37,5.2,1,0.8,0.3
38,15.6,5.3,2.1,3.1
39,6.3,2.3,1,0.4
40,3.5,1.1,1.1,0.2
41,10.7,3.8,1.3,1.8
42,6.9,2.6,1.5,0.3
43,7.1,3.1,0.7,0.4
44,3.9,1.9,1.1,0
45,15.5,7.3,3,0.7
46,11.1,3.4,2.1,0.8
47,NA,NA,NA,NA
48,12.1,4.1,1.5,2.3
49,10.8,3.8,1,0.6
50,8.5,3.6,1.1,0.8
51,NA,NA,NA,NA
52,21.7,8.9,4.6,1.2
53,4.7,2,0.3,0.6
54,7.5,2.7,1.2,0.2
55,9.3,3.8,1.4,0.4
56,3.9,2.6,0.1,0.4
57,9,3.1,2.8,0.6
58,8.1,2.9,2.5,0.4
59,13.2,7.4,1.4,1.3
60,8.1,3.2,1,0.7
1,31.8,15.7,5.5,5.2
2,30.4,14.6,3.1,2.3
3,34.1,14.9,8.1,2.6
4,35.4,14.4,7.4,3.3
5,28.2,12.6,3.7,4.4
6,31.4,12.4,7.8,6.4
7,14.5,8,2.8,0.7
8,32,15.6,4.6,3
9,26,10.4,2.4,3.5
10,21.5,7.3,1.8,0.9
11,10.6,5,1.7,0.8
12,15.9,4.9,1.7,1.4
13,28.7,13.4,4.1,2.2
14,9.5,3.2,1.4,0.3
15,19.8,6.8,2.5,0.9
16,18.7,8.7,4.8,2.5
17,12.7,3.9,2.1,0.5
18,20,8.7,2.2,1
19,2.8,0.9,0.5,0.2
20,4.6,1.8,1.1,0.1
21,9,3.5,1.4,0.9
22,9.7,5.8,2.8,0.4
23,7,1.3,2.3,0.5
24,16.5,7.4,2.1,1.7
25,17.8,6.5,2,1
26,18,8.8,2.7,2
27,19.6,9.8,2.6,1.3
28,3,1,1,0
29,12.4,6.1,5.1,0.5
30,10.3,3.3,2.4,0.5
31,4.1,1.6,1,0.3
32,23,7.1,5.8,1
33,NA,NA,NA,NA
34,NA,NA,NA,NA
35,29.9,9.6,3.9,2.1
36,7.2,1.8,0.8,1.1
37,9,2.6,1.4,0.7
38,25.9,8.1,2.8,3.1
39,5.6,2.1,1.9,0.4
40,7.6,3.4,0.8,1.2
41,6.1,2.5,0.5,0.3
42,5,0,0,0
43,7.9,3.3,2,0.3
44,24.6,6.4,4.3,0.6
45,NA,NA,NA,NA
46,11.8,3.6,2.2,1.6
47,1,0,0,0
48,3.2,0.6,0.5,0.5
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,15.1,6.7,2.3,0.9
52,11.7,5.2,3,0.6
53,7.3,3,2.7,0.3
54,9.3,3,1.8,0.5
55,22.4,7.1,3.4,1.1
56,3.5,0.5,0,0.5
57,NA,NA,NA,NA
58,6.5,1.1,1.5,0.1
59,NA,NA,NA,NA
60,5.3,1.8,0.9,0
