Rk,MPG,PPG,RPG,APG
22,10.7,3.8,1.3,1.1
23,20.9,8.5,3.2,0.8
24,13.4,5.5,2.6,0.6
25,22.8,8.1,3.6,1.7
26,4.5,2.1,1,0.2
27,21.9,5.4,5.8,1
28,21.6,10.6,2,2.1
29,30.3,14.3,5.7,1.6
30,9.9,3.4,2.2,0.3
31,17.8,6.7,1.7,0.8
32,17.2,4.7,2.8,2.3
33,2.5,1,0.5,0
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,NA,NA,NA,NA
37,12.4,3,1.7,0.5
38,23.9,6.5,2.1,4
39,3,0,0,0
40,16,2,2,3.5
41,20.2,8.3,1.8,1.4
42,20.3,6.8,5.8,1.3
43,21.6,6.3,2.7,1.3
44,NA,NA,NA,NA
45,16.9,5.8,3,0.7
46,NA,NA,NA,NA
47,29.2,13.2,2.8,4.9
48,5,1,1,0.2
49,15.7,5.2,1.8,0.5
50,NA,NA,NA,NA
51,25.3,9.7,3,1.7
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,9.4,3.3,2.8,0.3
57,NA,NA,NA,NA
58,6.2,1.3,0.6,0.1
1,31.9,15.8,11.8,1.4
2,30.9,12,9.7,0.8
3,27.4,14.9,2.5,2.5
4,20.6,6.3,2.4,3
5,24.3,10.8,2.2,3.9
6,26.7,9.1,4.7,1.6
7,34.3,14.8,6.1,2.3
8,11.4,2.8,2.8,0.3
9,32.3,11.4,4.9,4.2
10,9.9,3.5,1.2,0.8
11,21.6,6.3,7,0.9
12,15.5,4.3,3.9,0.2
13,21.5,7.4,1.6,3.5
14,17.8,6.7,5.4,0.7
15,28.7,15.7,8.4,1.5
16,16.8,6.3,2.3,1.1
17,32.4,14.5,7.4,3.1
18,26.9,12.4,3.1,2.1
19,22.4,8.4,3.8,1.5
20,27.9,11.3,3,5.1
21,4.7,0.7,1.5,0
22,16.4,4.5,3.4,1
23,13.2,3,2,0.7
24,27.4,9.7,2.9,3.6
25,22,8.1,3.5,1.3
26,30.2,17.4,3.2,1.9
27,15.3,5.3,1.9,1.3
28,21.9,8.4,2.1,3.4
29,14.2,5,2.9,0.2
30,23.9,7.2,7.2,1.2
31,12.8,3.3,3,0.6
32,3.3,1.8,0.7,0
33,12,3.1,0.9,1.4
34,9.2,2.7,1.1,0.8
35,5.2,1.4,0.6,0.1
36,9.7,2.3,0.6,1.3
37,12.5,3.3,1.1,1
38,25.6,6.5,2.3,4.4
39,NA,NA,NA,NA
40,10.6,3.5,1.4,0.5
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,29.5,10.4,4.8,2.1
44,NA,NA,NA,NA
45,14.9,4.5,2.5,1
